contribution,billed_date,order_id
90.98324516,9/7/2022,a7692
97.38406097,5/21/2023,c3270
12.51393269,12/26/2021,d1224
69.76912101,9/8/2022,a1382
4.972846581,9/8/2022,a9017
61.36365491,5/22/2023,c7777
27.07186724,12/27/2021,a4388
63.62980533,12/27/2021,c4429
27.7927899,5/23/2023,c6925
82.65428207,5/23/2023,a8246
74.91178422,5/23/2023,a3961
25.10847498,5/23/2023,c3020
14.85556164,5/23/2023,c44
66.47870884,12/28/2021,d1686
58.87720724,12/28/2021,a3533
83.99970529,12/28/2021,d8069
89.94568686,12/28/2021,c6536
71.47624579,5/24/2023,d5854
46.08858622,12/30/2021,d6264
3.507764974,12/30/2021,b8443
71.11496631,9/12/2022,b6566
39.43707559,5/26/2023,b5618
30.10664658,12/31/2021,d3423
69.25896026,9/13/2022,b3300
65.33339175,5/27/2023,d7486
51.20694183,5/27/2023,d3272
89.11723589,5/27/2023,a8084
23.59922995,1/1/2022,a2158
81.84092608,1/1/2022,a623
27.52084661,1/1/2022,a396
9.241130083,9/14/2022,d9789
71.09777468,5/28/2023,a1070
23.69166683,5/28/2023,d6021
22.47246433,1/2/2022,b6023
62.84509727,1/2/2022,b5336
45.49457146,9/15/2022,b7826
23.44136904,9/15/2022,a2297
66.96901239,5/29/2023,c1672
83.66495231,5/29/2023,c290
48.01730384,1/3/2022,d1248
66.01041251,1/3/2022,d8067
83.704431,9/16/2022,b2815
63.63401324,1/4/2022,c3016
59.43131817,1/4/2022,b1189
94.7213988,1/4/2022,d2688
5.240650985,1/4/2022,d6151
41.83793627,5/31/2023,a9377
13.76959217,9/18/2022,d5123
96.71134821,9/18/2022,c6460
22.52546608,9/18/2022,b2592
50.81108429,6/1/2023,b6082
44.18241849,1/6/2022,d8397
45.43737663,9/19/2022,a8363
54.36136926,6/2/2023,c6021
92.60992111,1/7/2022,a112
83.56568601,1/7/2022,a9227
23.75306029,1/7/2022,d5281
51.27058008,1/7/2022,a5846
57.85255039,6/3/2023,b8132
49.09500054,6/3/2023,b9543
11.73049671,6/3/2023,b1389
72.39666998,1/8/2022,b7100
40.35974139,1/8/2022,d9673
18.43835397,1/8/2022,a6497
6.914070906,1/8/2022,b1827
10.56789818,6/4/2023,c4381
8.104866213,1/9/2022,c1859
50.28874224,1/9/2022,c8563
39.99701944,9/22/2022,a9743
16.22767894,1/10/2022,b1977
13.89098265,1/10/2022,d989
89.00685145,1/10/2022,c2677
74.93046123,9/23/2022,a5347
48.16734668,9/23/2022,b5020
84.67012347,9/23/2022,d3206
80.45589524,9/23/2022,b4717
33.43392656,6/6/2023,c8755
30.78933029,1/11/2022,c632
92.91248826,6/7/2023,a3388
87.2469797,6/7/2023,c4912
35.66620815,1/12/2022,b1333
44.24792646,9/25/2022,d683
60.37459864,9/25/2022,a4279
36.78468776,1/13/2022,c7073
35.74644749,9/26/2022,d2053
40.24646471,6/9/2023,b356
71.86812649,1/14/2022,a4000
52.32978006,1/14/2022,b3463
14.92789803,9/27/2022,d9544
90.55406703,6/10/2023,b1846
62.46292143,6/10/2023,a4139
37.45398366,9/28/2022,b4697
47.12471704,9/28/2022,d8168
14.38671315,9/28/2022,a2636
95.88597253,6/11/2023,d5356
8.332791953,1/16/2022,d8740
10.15071633,1/16/2022,a9222
69.6694509,1/16/2022,c6543
80.63887072,9/29/2022,d5466
11.44354204,6/12/2023,c6602
43.99472187,1/17/2022,c1479
46.42375135,1/17/2022,b8088
86.80348872,6/13/2023,a4324
66.31423493,1/18/2022,b1160
32.13567011,10/1/2022,d3625
21.9484962,10/1/2022,b39
9.62264557,10/1/2022,b3695
12.35090428,10/1/2022,a5840
16.15833949,6/14/2023,a5089
17.92153336,1/19/2022,d8662
31.85132999,1/19/2022,d1080
30.55806809,10/2/2022,a3372
39.75634614,10/2/2022,c8828
50.11862864,6/15/2023,c3037
92.02616875,6/15/2023,b8934
76.59328179,1/20/2022,c3586
29.14796197,1/20/2022,b2418
8.798441416,1/20/2022,a9528
50.66702649,1/20/2022,d8891
53.04348653,10/3/2022,d9282
72.06563514,1/21/2022,d9229
89.08520864,10/4/2022,d3696
33.50200987,10/4/2022,c6612
63.47501367,10/4/2022,a5819
92.16021362,10/4/2022,d1215
18.46448001,6/17/2023,a5982
22.63837015,1/22/2022,c9297
0.3001852239,1/22/2022,a4732
79.17087399,1/22/2022,b1247
21.54363354,10/5/2022,b1931
32.55845229,6/18/2023,d722
36.28277807,6/18/2023,c3977
79.85984097,1/23/2022,d8291
39.50182261,1/23/2022,c7743
48.39393926,1/23/2022,c1402
93.16438986,10/6/2022,b6641
77.74201207,10/6/2022,c4474
70.85923218,10/6/2022,a5218
86.20305824,10/6/2022,b1081
98.15292044,6/19/2023,b4244
9.184620125,6/19/2023,a2552
75.85657896,6/20/2023,d5718
89.55076151,6/20/2023,a7847
56.58646786,1/25/2022,c130
71.69199759,6/21/2023,c1267
14.34267314,10/9/2022,a4602
35.27509071,6/22/2023,b8198
75.14634776,1/27/2022,b4266
43.14799634,10/10/2022,c3152
90.66761059,10/10/2022,d8973
93.73384576,10/11/2022,b666
77.11087864,6/24/2023,b1860
88.9929256,1/29/2022,c899
78.07583115,10/12/2022,a271
6.539128601,6/25/2023,b5673
41.99782325,6/25/2023,a679
41.53301014,6/26/2023,c2723
16.00264121,6/26/2023,a7828
22.32777661,6/26/2023,b4182
8.100371738,6/26/2023,a6358
60.78574557,6/26/2023,b9443
3.039078843,6/26/2023,d3031
31.18148796,10/14/2022,a5127
5.202621822,2/1/2022,c7548
69.20437807,10/15/2022,a671
73.70421255,10/15/2022,d8562
11.50942953,10/15/2022,d3840
9.0973642,10/15/2022,a8392
95.48891162,6/29/2023,b514
60.89546302,6/29/2023,d1469
54.52419583,6/29/2023,d9052
4.803788503,2/3/2022,c4139
54.7121288,6/30/2023,b7614
6.754542372,6/30/2023,c1996
17.94621364,6/30/2023,a1584
15.95141279,2/4/2022,d4206
32.00650093,10/18/2022,a1426
84.04826027,10/18/2022,b6858
37.46530973,2/5/2022,a9483
63.52212572,2/5/2022,a7984
62.83362355,7/2/2023,b1236
26.46774195,7/2/2023,d5125
62.42916793,7/2/2023,a7417
52.86940383,10/20/2022,d1628
49.66331063,10/20/2022,d5062
74.74271416,10/21/2022,c4358
36.51139129,2/8/2022,c311
3.717642402,10/22/2022,b2001
91.73214861,10/22/2022,c3545
17.38820459,7/5/2023,d3757
63.41754799,2/9/2022,a7936
74.61050372,2/9/2022,a6074
49.35610142,10/23/2022,b4256
55.93708863,10/23/2022,d2044
78.14362256,7/6/2023,c2171
65.97010611,7/6/2023,a6434
52.44649718,7/6/2023,c3593
33.21766498,10/24/2022,d3069
8.392707875,10/24/2022,a4402
23.59917678,2/12/2022,c6748
52.06014388,2/12/2022,d8267
5.508689104,2/12/2022,a6081
40.25101494,10/26/2022,a5884
29.63841429,7/9/2023,a3173
83.20984753,2/13/2022,c694
90.71680786,10/27/2022,d7859
17.84775675,7/10/2023,b5468
33.99753354,10/28/2022,c9710
62.58459182,10/28/2022,c906
36.12673265,7/11/2023,b3087
5.706060829,7/11/2023,a5378
21.47681719,2/15/2022,d9663
92.08762766,2/15/2022,c4373
96.00205569,10/29/2022,d9853
77.95015944,10/29/2022,d5160
44.53166698,2/16/2022,b9073
26.13737651,10/30/2022,b9386
50.33823385,7/13/2023,d8775
67.45672468,7/13/2023,c2691
12.52688127,7/13/2023,c3421
12.84493589,7/13/2023,a4088
26.24045053,2/17/2022,b9632
94.63035152,10/31/2022,d5019
83.99561184,10/31/2022,d5566
85.92248594,10/31/2022,a7273
9.004893543,7/14/2023,c8782
9.165815613,2/18/2022,a6545
43.033863,11/1/2022,c834
23.86137415,11/1/2022,b9593
52.14010452,2/19/2022,d1947
32.36358361,2/19/2022,d2488
95.77783541,2/19/2022,a2045
70.65458702,2/19/2022,a8455
25.92669867,11/2/2022,d3012
11.40708152,2/20/2022,d5993
94.7854709,2/20/2022,a237
91.65105033,11/3/2022,d8352
60.20956687,11/3/2022,b9184
78.6111094,7/17/2023,a4454
26.5285241,7/17/2023,c2113
13.56257696,11/4/2022,d615
99.11746598,7/18/2023,b898
74.07003572,7/18/2023,a3367
54.03282023,7/18/2023,d2680
74.03290691,7/18/2023,b9584
69.44781617,11/5/2022,d2898
34.25344041,11/5/2022,a9347
6.644252708,11/5/2022,b2943
32.20922491,7/19/2023,a3613
44.94121469,2/23/2022,d5385
37.45963688,2/23/2022,c2467
94.21268958,2/23/2022,a5587
66.22010891,11/6/2022,c4577
42.67635911,2/24/2022,d4973
80.54379483,2/24/2022,c1676
92.40502686,2/25/2022,c1556
93.36831497,2/25/2022,b179
31.52232415,2/25/2022,c3854
38.41010822,2/25/2022,a1221
88.98135135,2/25/2022,c1578
24.45075701,2/26/2022,b1521
96.62646423,2/26/2022,d6847
28.35703655,11/9/2022,d3441
68.57346321,2/27/2022,b913
87.60975256,11/10/2022,a5338
78.22431674,11/10/2022,a4368
13.5894161,11/10/2022,d2229
7.840092207,3/1/2022,b9771
55.52227136,3/1/2022,c4903
98.64985391,3/1/2022,c1716
19.76943907,3/2/2022,b4701
50.94871388,3/2/2022,b654
4.669835264,3/2/2022,c3758
81.26292091,11/13/2022,b6682
84.53453057,11/13/2022,c9238
67.68390316,3/3/2022,b9070
31.77324028,3/3/2022,d333
53.95196059,3/4/2022,b105
2.392659368,11/15/2022,b6831
95.21697346,3/5/2022,d8865
2.807392552,11/16/2022,b9377
88.88950863,11/17/2022,b9306
31.04436089,11/17/2022,d863
49.45609977,11/17/2022,a1371
59.2180208,3/7/2022,a9005
9.896628976,11/18/2022,c9810
14.40074451,11/18/2022,a5751
58.52052251,11/18/2022,b7073
2.518560659,11/19/2022,b420
51.0886314,11/19/2022,d6724
1.017374384,3/9/2022,d4657
45.1065643,3/9/2022,b2530
40.94098121,11/20/2022,d6039
94.42546897,11/20/2022,a3757
20.49833929,3/10/2022,d8126
33.9365692,3/11/2022,b5690
97.91318984,3/11/2022,b894
70.56028753,11/22/2022,d2996
24.42705293,11/22/2022,a3785
92.86672711,3/12/2022,b79
60.60147729,3/12/2022,c4489
34.18824933,3/13/2022,d1266
63.8185705,3/13/2022,c5501
60.40771207,3/13/2022,c2286
34.68962993,3/13/2022,b4470
9.198022942,11/24/2022,b7398
97.40289051,11/24/2022,a8198
10.47098139,3/14/2022,d6033
99.10700339,11/26/2022,a582
15.7019037,11/26/2022,a8715
82.89915493,11/26/2022,c471
42.20418536,3/16/2022,b9027
78.05752195,3/17/2022,c2553
68.74881786,3/17/2022,d4127
